time,operation,flight,ac_type,runway
2025-03-01 00:51:13,takeoff,SKW5265,CRJ2,32
2025-03-01 00:56:18,takeoff,1520775,H60,
2025-03-01 01:04:10,takeoff,N422PM,BE9L,5
2025-03-01 01:06:40,takeoff,1320605,H60,
2025-03-01 01:13:48,takeoff,CFS7584,AT73,32
2025-03-01 01:36:14,takeoff,AIP1587,B190,32
2025-03-01 01:49:46,landing,SKW5580,E75L,32
2025-03-01 01:51:31,takeoff,N854AL,PC12,32
2025-03-01 01:58:28,landing,N50VP,BE9L,32
2025-03-01 02:07:18,takeoff,N293AM,B407,
2025-03-01 03:12:30,landing,N959MA,PC12,32
2025-03-01 03:18:24,landing,AAY2358,A320,32
2025-03-01 03:21:33,landing,ENY3567,E75L,32
2025-03-01 03:39:56,landing,UAL514,A320,32
2025-03-01 03:59:12,takeoff,N323HA,BE9L,14
2025-03-01 04:16:39,takeoff,AAY758,A320,32
2025-03-01 04:42:31,landing,N293AM,B407,
2025-03-01 04:58:23,landing,SKW5303,CRJ2,32
2025-03-01 05:12:07,landing,EDV4837,CRJ9,32
2025-03-01 05:30:53,landing,N422PM,BE9L,
2025-03-01 07:28:11,landing,N854AL,PC12,32
2025-03-01 09:32:59,landing,N915MR,BE9L,14
2025-03-01 10:49:06,takeoff,N915MR,BE9L,14
2025-03-01 12:02:32,takeoff,N422PM,BE9L,5
2025-03-01 12:17:32,takeoff,N9294Q,P28A,32
2025-03-01 12:31:59,takeoff,ENY3445,E75L,14
2025-03-01 12:59:08,takeoff,N117SG,CH7B,14
2025-03-01 12:59:32,landing,N117SG,CH7B,
2025-03-01 13:25:50,takeoff,EDV4955,CRJ9,14
2025-03-01 13:32:23,landing,N422PM,BE9L,32
2025-03-01 13:52:01,landing,N9294Q,P28A,14
2025-03-01 14:30:39,takeoff,SKW5884,E75L,14
2025-03-01 14:39:28,takeoff,N9294Q,P28A,14
2025-03-01 14:47:01,landing,CFS8584,AT73,14
2025-03-01 15:03:47,takeoff,N4324Y,PA34,14
2025-03-01 15:10:28,landing,AIP1044,B190,14
2025-03-01 15:13:24,landing,N4324Y,PA34,
2025-03-01 15:14:00,landing,N450AM,B407,
2025-03-01 15:18:12,takeoff,N4324Y,PA34,14
2025-03-01 15:24:21,landing,N4324Y,PA34,14
2025-03-01 15:26:43,takeoff,N450AM,B407,
2025-03-01 15:27:23,takeoff,N21757,C172,14
2025-03-01 15:28:31,takeoff,N4324Y,PA34,14
2025-03-01 15:34:17,landing,N4324Y,PA34,14
2025-03-01 15:39:09,landing,N1039A,BE35,14
2025-03-01 15:47:34,takeoff,UAL2307,A320,14
2025-03-01 15:49:44,landing,N9294Q,P28A,
2025-03-01 15:51:13,takeoff,N959MA,PC12,14
2025-03-01 15:59:47,takeoff,N390TP,E50P,14
2025-03-01 16:09:38,landing,N959MA,PC12,14
2025-03-01 16:26:21,takeoff,N9294Q,P28A,14
2025-03-01 16:35:34,landing,AAY1206,A320,14
2025-03-01 16:36:53,takeoff,N559SP,C172,14
2025-03-01 16:39:29,takeoff,N203RF,SR22,14
2025-03-01 16:41:03,takeoff,N44669,P28A,14
2025-03-01 16:42:06,landing,N284MR,BE9L,14
2025-03-01 16:43:10,takeoff,N422PM,BE9L,
2025-03-01 16:46:50,takeoff,N2577Q,C185,14
2025-03-01 16:50:33,landing,N915SH,BE20,14
2025-03-01 16:59:38,landing,N559SP,C172,14
2025-03-01 17:08:03,landing,N2577Q,C185,14
2025-03-01 17:25:41,takeoff,N50VP,BE9L,14
2025-03-01 17:28:12,landing,EDV4832,CRJ9,14
2025-03-01 17:37:03,takeoff,AAY1192,A320,14
2025-03-01 17:38:40,takeoff,SKW5396,CRJ2,14
2025-03-01 17:42:09,landing,N44669,P28A,14
2025-03-01 17:50:40,landing,N9294Q,P28A,
2025-03-01 17:53:31,landing,N203RF,SR22,14
2025-03-01 17:57:41,landing,N7265T,C172,14
2025-03-01 18:01:18,takeoff,N854AL,PC12,14
2025-03-01 18:01:50,takeoff,N293AM,B407,
2025-03-01 18:12:18,landing,SKW5862,CRJ2,14
2025-03-01 18:15:22,takeoff,N696DW,PA32,14
2025-03-01 18:24:45,landing,N854AL,PC12,14
2025-03-01 18:30:56,takeoff,N959MA,PC12,14
2025-03-01 18:32:33,takeoff,N915SH,BE20,14
2025-03-01 18:40:37,landing,ENY3649,E75L,14
2025-03-01 18:47:01,takeoff,N9294Q,P28A,14
2025-03-01 18:53:13,takeoff,EDV4832,CRJ9,14
2025-03-01 18:59:55,landing,CXK141,C172,14
2025-03-01 19:01:56,takeoff,N7265T,C172,14
2025-03-01 19:04:28,landing,N422PM,BE9L,14
2025-03-01 19:16:25,landing,N40RS,PA24,14
2025-03-01 19:19:57,landing,N767EC,S76,
2025-03-01 19:27:35,landing,SKW4800,CRJ2,14
2025-03-01 19:28:56,landing,N959MA,PC12,14
2025-03-01 19:33:03,landing,N1232V,EPIC,14
2025-03-01 19:34:19,landing,N9294Q,P28A,
2025-03-01 19:37:18,takeoff,ENY3649,E75L,14
2025-03-01 19:41:00,landing,N7616F,P28A,14
2025-03-01 19:44:46,landing,N293AM,B407,
2025-03-01 19:46:04,takeoff,N773SD,BE9L,14
2025-03-01 19:47:00,takeoff,CXK141,C172,14
2025-03-01 19:51:22,landing,N402MA,B407,
2025-03-01 19:55:07,takeoff,SKW5365,CRJ2,14
2025-03-01 20:03:12,takeoff,TKR10,B462,14
2025-03-01 20:19:42,takeoff,N767EC,S76,
2025-03-01 20:29:39,takeoff,SKW5346,CRJ2,14
2025-03-01 20:31:39,landing,TKR10,B462,14
2025-03-01 20:33:18,takeoff,N9294Q,P28A,14
2025-03-01 20:34:55,takeoff,N2109T,P28R,14
2025-03-01 20:35:50,takeoff,N7616F,P28A,14
2025-03-01 20:37:56,takeoff,AIP1044,B190,14
2025-03-01 20:43:15,takeoff,N402MA,B407,
2025-03-01 20:46:12,takeoff,N959MA,PC12,14
2025-03-01 20:49:10,takeoff,TKR10,B462,14
2025-03-01 21:05:54,landing,N450AM,B407,
2025-03-01 21:07:03,takeoff,N293AM,B407,
2025-03-01 21:09:14,takeoff,N1232V,EPIC,14
2025-03-01 21:13:52,landing,N21757,C172,14
2025-03-01 21:21:33,landing,TKR10,B462,14
2025-03-01 21:27:18,takeoff,N450AM,B407,
2025-03-01 21:27:56,landing,N773SD,BE9L,14
2025-03-01 21:35:28,landing,N959MA,PC12,14
2025-03-01 21:39:34,takeoff,TKR10,B462,14
2025-03-01 21:53:13,landing,SKW5556,E75L,32
2025-03-01 21:57:36,landing,EDV4834,CRJ9,14
2025-03-01 21:58:33,takeoff,N40RS,PA24,5
2025-03-01 22:06:01,takeoff,N773SD,BE9L,14
2025-03-01 22:12:20,takeoff,082130,H60,
2025-03-01 22:12:21,landing,TKR10,B462,14
2025-03-01 22:15:47,takeoff,0920234,H60,
2025-03-01 22:18:59,landing,N9294Q,P28A,
2025-03-01 22:22:44,takeoff,N683AC,C68A,14
2025-03-01 22:36:43,takeoff,TKR10,B462,14
2025-03-01 22:45:55,takeoff,SKW5545,E75L,14
2025-03-01 23:01:33,takeoff,N9294Q,P28A,14
2025-03-01 23:03:22,takeoff,TKR10,B462,
2025-03-01 23:05:57,landing,TKR10,B462,14
2025-03-01 23:20:52,landing,N293AM,B407,
2025-03-01 23:21:35,takeoff,EDV4834,CRJ9,14
2025-03-01 23:39:39,landing,SKW5265,E75L,14
